,Account,Post,Tag,Likes,Comments
0,spicaonyou," It's a pleasure that many Welo come to this event. Let's keep these memories together and keep supporting Ong Seongwu in the future too. See you again in the next event 

# #OngSeongwu #SpicaOnYou","['성우', 'ongseongwu', 'spicaonyou']",27,[]
1,spicaonyou," Thank you for coming and join with us on our event. Eventhought our event still far from perfect and there still a lot of mistakes that we made. But we were really happy to share laughter and happiness with you all 

# #OngSeongwu #SpicaOnYou","['성우', 'ongseongwu', 'spicaonyou']",29,[]
2,spicaonyou," Welcome to Spica On You, 'cause he's the brightest star in the constellation 

# #OngSeongwu #SpicaOnYou","['성우', 'ongseongwu', 'spicaonyou']",25,[]
3,spicaonyou,"SPECIAL NOTICE FOR WELO 

Message ucapan happy birthday yang kalian tulis buat Seongwu di Spica on You akan kami kumpulkan dalam sebuah buku dan akan dikirimkan ke Fantagio Ent loh. 
Jadi yukk dateng ke Spica on You!! ",[],21,[]
4,spicaonyou,"     
          ",[],28,[]
5,spicaonyou,    ,[],12,[]
6,spicaonyou,,[],6,[]
7,spicaonyou,,[],18,"['Kalo dlm 1 struk pesan nya 2 minuman, gift nya tetap hanya dpt 1 aja?']"
8,spicaonyou,,[],7,[]
9,spicaonyou,,[],10,[]
10,spicaonyou,,[],8,[]
11,spicaonyou,,[],10,[]
12,spicaonyou,,[],6,[]
13,spicaonyou,,[],5,[]
14,spicaonyou,,[],6,[]
15,spicaonyou,,[],3,[]
16,spicaonyou,,[],8,[]
17,spicaonyou,,[],3,[]
18,spicaonyou,    ,[],7,[]
19,spicaonyou,"    

              .",[],21,[]
20,spicaonyou,    ,[],7,[]
21,spicaonyou,  x- ,[],19,[]
22,spicaonyou, x- ,[],18,[]
23,spicaonyou,   ,[],18,[]
24,spicaonyou,  ,[],17,[]
25,spicaonyou,  ,[],19,[]
26,spicaonyou,  ,[],16,[]
27,spicaonyou,  ,[],20,[]
28,spicaonyou,  ,[],22,[]
29,spicaonyou,  ,[],19,[]
30,spicaonyou,    ,[],6,[]
31,spicaonyou,"    
 
                  ",[],17,[]
32,spicaonyou,    ,[],9,[]
33,spicaonyou," Spica on You 
Cause he's the brightest star in the constellation
Cafe Bene, Menara Rajawali.
 Saturday, August 31st, 2019
 11.00 - 15.00
 This is a free entry event for celebrate Seongwu's birthday party ",[],10,[]
34,spicaonyou," Spica on You 
Cause he's the brightest star in the constellation
Cafe Bene, Menara Rajawali.
 Saturday, August 31st, 2019
 11.00 - 15.00
 This is a free entry event for celebrate Seongwu's birthday party ",[],128,"['@praditaaliffia_ tong', '@mayamelian nih', '@fitriratnasari92481 ini kaaa', 'tinggal dateng aja ni???', 'yuyuyu @salsbllp @rsphyspssrm', 'ada rsvp nya kak?', 'gratis woyyyy kuy @nandanandias88', 'ini kesana bawa apa aja ka? @spicaonyou', '@shouto_ayam temenin bi', '@sellypatikaa ayo temenin:(', 'Mauuuu  @bae.wawa', 'bayar ngk kak ? @spicaonyou', 'oke kak siap', '@ry.hanaaa']"
35,spicaonyou," Spica on You 
Cause he's the brightest star in the constellation
Cafe Bene, Menara Rajawali.
 Saturday, August 31st, 2019
 11.00 - 15.00
 This is a free entry event for celebrate Seongwu's birthday party ",[],13,[]
36,spicaonyou,"Because Seongwu is the brightest star who was born in August, so we present you:  S  Y 
  &      

Let's celebrate Seongwu's birthday together and make your August better 

Follow us at twitter: @/SpicaOnYou95

Detail will be anounced soon.",[],10,[]
37,spicaonyou,"Because Seongwu is the brightest star who was born in August, so we present you:  S  Y 
  &      

Let's celebrate Seongwu's birthday together and make your August better 

Follow us at twitter: @/SpicaOnYou95

Detail will be anounced soon.",[],11,['Where?']
38,spicaonyou,"Because Seongwu is the brightest star who was born in August, so we present you:  S  Y 
  &      

Let's celebrate Seongwu's birthday together and make your August better 

Follow us at twitter: @/SpicaOnYou95

Detail will be anounced soon.",[],11,[]
39,spicaonyou,"Because Seongwu is the brightest star who was born in August, so we present you:  S  Y 
  &      

Let's celebrate Seongwu's birthday together and make your August better 

Follow us at twitter: @/SpicaOnYou95

Detail will be anounced soon.",[],10,[]
40,spicaonyou,"Because Seongwu is the brightest star who was born in August, so we present you:  S  Y 
  &      

Let's celebrate Seongwu's birthday together and make your August better 

Follow us at twitter: @/SpicaOnYou95

Detail will be anounced soon.",[],13,[]
